HALI SAYIM RAPORU v8 (OBB + ByteTrack)
========================================
Video: cancan.mp4
Model: C:\Users\burak\runs\obb\carpet_obb_v1\weights\best.pt
Çizgi: (1247, 1055) -> (1982, 1037)
Conf: 0.25 | IoU: 0.7

Giriş: 91
Çıkış: 1
NET: 90

1. [GIRIS] Frame 137, t=6.8s, T1, conf=0.86
2. [GIRIS] Frame 760, t=38.0s, T3, conf=0.84
3. [GIRIS] Frame 844, t=42.2s, T4, conf=0.87
4. [GIRIS] Frame 914, t=45.7s, T5, conf=0.86
5. [GIRIS] Frame 1082, t=54.1s, T6, conf=0.88
6. [GIRIS] Frame 1224, t=61.2s, T7, conf=0.85
7. [GIRIS] Frame 1305, t=65.2s, T8, conf=0.85
8. [GIRIS] Frame 1620, t=81.0s, T9, conf=0.85
9. [GIRIS] Frame 1753, t=87.7s, T10, conf=0.85
10. [GIRIS] Frame 1818, t=90.9s, T11, conf=0.87
11. [GIRIS] Frame 1908, t=95.4s, T12, conf=0.87
12. [GIRIS] Frame 2153, t=107.7s, T13, conf=0.86
13. [GIRIS] Frame 2306, t=115.3s, T14, conf=0.86
14. [GIRIS] Frame 2393, t=119.7s, T15, conf=0.86
15. [GIRIS] Frame 2479, t=124.0s, T16, conf=0.85
16. [GIRIS] Frame 2562, t=128.1s, T17, conf=0.85
17. [GIRIS] Frame 2643, t=132.2s, T18, conf=0.85
18. [GIRIS] Frame 2721, t=136.1s, T19, conf=0.87
19. [GIRIS] Frame 2804, t=140.2s, T20, conf=0.85
20. [GIRIS] Frame 2968, t=148.4s, T21, conf=0.87
21. [GIRIS] Frame 3097, t=154.8s, T22, conf=0.87
22. [GIRIS] Frame 3216, t=160.8s, T23, conf=0.87
23. [GIRIS] Frame 3309, t=165.4s, T24, conf=0.85
24. [GIRIS] Frame 3408, t=170.4s, T25, conf=0.87
25. [GIRIS] Frame 3506, t=175.3s, T26, conf=0.87
26. [GIRIS] Frame 3621, t=181.1s, T27, conf=0.87
27. [GIRIS] Frame 3718, t=185.9s, T28, conf=0.86
28. [GIRIS] Frame 3816, t=190.8s, T29, conf=0.87
29. [GIRIS] Frame 3863, t=193.2s, T30, conf=0.87
30. [GIRIS] Frame 3986, t=199.3s, T31, conf=0.87
31. [GIRIS] Frame 4074, t=203.7s, T32, conf=0.85
32. [GIRIS] Frame 4175, t=208.8s, T33, conf=0.86
33. [GIRIS] Frame 4260, t=213.0s, T34, conf=0.85
34. [GIRIS] Frame 4347, t=217.3s, T35, conf=0.86
35. [GIRIS] Frame 4459, t=222.9s, T36, conf=0.86
36. [GIRIS] Frame 4648, t=232.4s, T37, conf=0.87
37. [GIRIS] Frame 4772, t=238.6s, T38, conf=0.87
38. [GIRIS] Frame 4873, t=243.7s, T40, conf=0.87
39. [GIRIS] Frame 5037, t=251.8s, T41, conf=0.86
40. [GIRIS] Frame 5133, t=256.6s, T42, conf=0.85
41. [GIRIS] Frame 5239, t=261.9s, T43, conf=0.87
42. [CIKIS] Frame 9151, t=457.6s, T46, conf=0.80
43. [GIRIS] Frame 9647, t=482.4s, T44, conf=0.86
44. [GIRIS] Frame 9765, t=488.2s, T51, conf=0.86
45. [GIRIS] Frame 9872, t=493.6s, T52, conf=0.87
46. [GIRIS] Frame 9969, t=498.4s, T53, conf=0.88
47. [GIRIS] Frame 10066, t=503.3s, T54, conf=0.87
48. [GIRIS] Frame 10289, t=514.5s, T55, conf=0.88
49. [GIRIS] Frame 10408, t=520.4s, T56, conf=0.87
50. [GIRIS] Frame 10494, t=524.7s, T57, conf=0.87
51. [GIRIS] Frame 10619, t=531.0s, T58, conf=0.86
52. [GIRIS] Frame 10690, t=534.5s, T59, conf=0.87
53. [GIRIS] Frame 10733, t=536.6s, T60, conf=0.91
54. [GIRIS] Frame 10771, t=538.5s, T61, conf=0.93
55. [GIRIS] Frame 10826, t=541.3s, T62, conf=0.92
56. [GIRIS] Frame 10866, t=543.3s, T63, conf=0.93
57. [GIRIS] Frame 10885, t=544.2s, T64, conf=0.90
